Company Name,Website,Domain,Domain Selected
Weyerhauser Company,https://www.weyerhaeuser.com/,weyerhaeuser.com,
WGL Holdings Inc,http://www.wglholdings.com/,wglholdings.com,
Whirlpool Corporation,https://www.whirlpoolcorp.com/,whirlpoolcorp.com,
Whole Foods Market Inc,https://www.wholefoodsmarket.com/,,
Willamette Industries Inc.,N/A,N/A,
Williams Companies Inc,https://co.williams.com/,williams.com,
Williams Sonoma Inc,http://www.williams-sonomainc.com/,williams-sonomainc.com,
Winn Dixie Stores Inc,https://www.winndixie.com/,winndixie.com,
Wisconsin Energy Corporation,http://www.wecenergygroup.com/,wecenergygroup.com,
Wm Wrigley Jr Company,https://en.wikipedia.org/wiki/Wrigley_Company,N/A,
World Fuel Services Corporation,N/A,N/A,
WorldCom Inc,N/A,N/A,
Worthington Industries Inc,https://worthingtonindustries.com/Home,worthingtonindustries.com,
WPS Resources Corporation,http://wisconsinpublicservice.com/,wisconsinpublicservice.com,
Wyeth,https://en.wikipedia.org/wiki/Wyeth,N/A,
Wyndham International Inc,http://wyndhamdestinations.com/,wyndhamdestinations.com/,
Xcel Energy Inc,https://www.xcelenergy.com/,xcelenergy.com,
Xerox Corp,https://www.xerox.com/,xerox.com,
Xilinx Inc,N/A,N/A,
XO Communications Inc,https://www.xo.com/,xo.com,
Yellow Corporation,http://www.yrcw.com/,yrcw.com,
York International Corp,http://york.com/,N/A,
Yum Brands Inc.,http://www.yum.com/,yum.com,
Zale Corporation,https://www.zalecorp.com/corporate.aspx,zalecorp.com,
Zions Bancorporation,N/A,N/A,
